location,query,imp_lat,imp_lng
029XX Vespasian Blvd,"2900 Vespasian Blvd, New Orleans, LA",29.9320076,-90.029727
033XX Gen De Gaulle Dr,"3300 Gen De Gaulle Dr, New Orleans, LA",29.926776,-90.024648
076XX Fieldston Rd,"7600 Fieldston Rd, New Orleans, LA",30.0346621,-90.0071219
005XX Bourbon St,"500 Bourbon St, New Orleans, LA",29.9570708,-90.0669318
020XX La Salle St,"2000 La Salle St, New Orleans, LA",29.9416268,-90.0845189
096XX Hayne Blvd,"9600 Hayne Blvd, New Orleans, LA",30.0467398,-89.9885521
019XX Mlk Blvd,"1900 Mlk Blvd, New Orleans, LA",,
001XX Bourbon St,"100 Bourbon St, New Orleans, LA",29.9643234,-90.0605337
003XX St Joseph St,"300 St Joseph St, New Orleans, LA",29.9430142,-90.0664606
059XX Bullard Ave,"5900 Bullard Ave, New Orleans, LA",30.042725,-89.958531
041XX Vendome Pl,"4100 Vendome Pl, New Orleans, LA",29.9529612,-90.1083645
018XX Chippewa St,"1800 Chippewa St, New Orleans, LA",29.9210917,-90.0828678
043XX D'Hemecourt St,"4300 D'Hemecourt St, New Orleans, LA",29.971991,-90.107222
007XX Canal St,"700 Canal St, New Orleans, LA",29.9530497,-90.0694014
050XX Press Dr,"5000 Press Dr, New Orleans, LA",30.010394,-90.0425232
008XX Pacific Ave,"800 Pacific Ave, New Orleans, LA",29.9474202,-90.0460537
049XX Schindler Dr,"4900 Schindler Dr, New Orleans, LA",30.0254532,-89.9638353
003XX N Miro St,"300 N Miro St, New Orleans, LA",29.964445,-90.081408
004XX Decatur St,"400 Decatur St, New Orleans, LA",29.954429,-90.064788
019XX Tchoupitoulas St,"1900 Tchoupitoulas St, New Orleans, LA",29.9344779,-90.0663672
009XX Dauphine St,"900 Dauphine St, New Orleans, LA",29.96092,-90.064894
023XX Saint Andrew St,"2300 Saint Andrew St, New Orleans, LA",29.9410377,-90.0840956
013XX Canal St,"1300 Canal St, New Orleans, LA",29.9562708,-90.0744216
006XX Canal St,"600 Canal St, New Orleans, LA",29.9524562,-90.0685016
004XX N Claiborne Ave,"400 N Claiborne Ave, New Orleans, LA",29.961529,-90.075225
003XX Bourbon St,"300 Bourbon St, New Orleans, LA",29.9556978,-90.0678169
014XX N Rampart St,"1400 N Rampart St, New Orleans, LA",29.96598,-90.063324
038XX Annunciation St,"3800 Annunciation St, New Orleans, LA",29.9184775,-90.0935092
009XX Elysian Fields Ave,"900 Elysian Fields Ave, New Orleans, LA",29.966684,-90.056923
007XX Conti St,"700 Conti St, New Orleans, LA",29.955666,-90.066982
003XX Royal St,"300 Royal St, New Orleans, LA",29.9549493,-90.0673909
009XX N White St,"900 N White St, New Orleans, LA",29.973137,-90.0828
007XX St Louis St,"700 St Louis St, New Orleans, LA",29.956418,-90.066298
018XX 1st St,"1800 1st St, New Orleans, LA",,
022XX N Broad St,"2200 N Broad St, New Orleans, LA",29.98765,-90.067616
025XX A P Tureaud Ave,"2500 A P Tureaud Ave, New Orleans, LA",29.982272,-90.067632
007XX Bourbon St,"700 Bourbon St, New Orleans, LA",29.9586069,-90.0654573
014XX Annette St,"1400 Annette St, New Orleans, LA",29.971344,-90.063045
059XX Stratford Pl,"5900 Stratford Pl, New Orleans, LA",29.9128038,-89.9927447
036XX Mac Arthur Blvd,"3600 Mac Arthur Blvd, New Orleans, LA",,
048XX Downman Rd,"4800 Downman Rd, New Orleans, LA",30.0178831,-90.0219562
014XX Canal St,"1400 Canal St, New Orleans, LA",29.956809,-90.074787
022XX Valmont St,"2200 Valmont St, New Orleans, LA",29.9343955,-90.1106651
025XX Laurel St,"2500 Laurel St, New Orleans, LA",29.9257653,-90.0788029
027XX Napoleon Ave,"2700 Napoleon Ave, New Orleans, LA",29.9375381,-90.1044363
XX Yosemite Dr,"XX Yosemite Dr, New Orleans, LA",29.9149787,-90.0103402
078XX Saint Charles Ave,"7800 Saint Charles Ave, New Orleans, LA",29.94109,-90.131957
048XX Annunciation St,"4800 Annunciation St, New Orleans, LA",29.9174595,-90.1059387
008XX Carondelet St,"800 Carondelet St, New Orleans, LA",29.946058,-90.072854
079XX Birch St,"7900 Birch St, New Orleans, LA",29.948824,-90.125211
005XX Barracks St,"500 Barracks St, New Orleans, LA",29.962092,-90.0595413
005XX Elysian Fields Ave,"500 Elysian Fields Ave, New Orleans, LA",29.962747,-90.05661
007XX Dumaine St,"700 Dumaine St, New Orleans, LA",29.95965,-90.06344
034XX Louisa St,"3400 Louisa St, New Orleans, LA",29.992174,-90.0351682
076XX Hurst St,"7600 Hurst St, New Orleans, LA",29.936996,-90.133419
018XX Painters St,"1800 Painters St, New Orleans, LA",29.97625,-90.049412
049XX Toulon St,"4900 Toulon St, New Orleans, LA",30.0343327,-89.9337352
018XX Cambronne St,"1800 Cambronne St, New Orleans, LA",29.9538254,-90.1278494
016XX Gentilly Blvd,"1600 Gentilly Blvd, New Orleans, LA",29.980927,-90.077306
027XX 6th St,"2700 6th St, New Orleans, LA",29.9393834,-90.094322
058XX Fleur De Lis Dr,"5800 Fleur De Lis Dr, New Orleans, LA",29.9968673,-90.1197188
053XX Tchoupitoulas St,"5300 Tchoupitoulas St, New Orleans, LA",29.9160971,-90.113818
010XX Decatur St,"1000 Decatur St, New Orleans, LA",29.9591675,-90.060505
031XX Ursulines Ave,"3100 Ursulines Ave, New Orleans, LA",29.9768401,-90.0849668
015XX Oretha Castle Haley Blvd,"1500 Oretha Castle Haley Blvd, New Orleans, LA",29.940941,-90.07915
040XX Clermont Dr,"4000 Clermont Dr, New Orleans, LA",29.9986643,-90.0565856
017XX Tchoupitoulas St,"1700 Tchoupitoulas St, New Orleans, LA",29.928821,-90.066678
061XX Clara St,"6100 Clara St, New Orleans, LA",29.939335,-90.11573
013XX Poydras St,"1300 Poydras St, New Orleans, LA",29.9509475,-90.0767359
061XX Painters St,"6100 Painters St, New Orleans, LA",30.0214888,-90.0531875
010XX Canal St,"1000 Canal St, New Orleans, LA",29.9549055,-90.0721484
027XX Tulane Ave,"2700 Tulane Ave, New Orleans, LA",29.9619559,-90.0917713
003XX Canal St,"300 Canal St, New Orleans, LA",29.950837,-90.065934
009XX N Tonti St,"900 N Tonti St, New Orleans, LA",29.969874,-90.078004
007XX Saint Peter St,"700 Saint Peter St, New Orleans, LA",29.957993,-90.064913
019XX General Taylor St,"1900 General Taylor St, New Orleans, LA",29.929999,-90.097265
021XX Thalia St,"2100 Thalia St, New Orleans, LA",29.942738,-90.080375
036XX Macarthur Blvd,"3600 Macarthur Blvd, New Orleans, LA",29.925056,-90.020541
004XX Canal St,"400 Canal St, New Orleans, LA",29.9510163,-90.0663751
021XX S Claiborne Ave,"2100 S Claiborne Ave, New Orleans, LA",29.945455,-90.089028
070XX Bundy Rd,"7000 Bundy Rd, New Orleans, LA",30.0349929,-89.9866145
025XX Banks St,"2500 Banks St, New Orleans, LA",29.961243,-90.087413
057XX Pembrook Dr,"5700 Pembrook Dr, New Orleans, LA",29.9256733,-89.9952712
004XX Bourbon St,"400 Bourbon St, New Orleans, LA",29.9563459,-90.0675543
050XX Canal Blvd,"5000 Canal Blvd, New Orleans, LA",29.982408,-90.110889
092XX Airline Hwy,"9200 Airline Hwy, New Orleans, LA",,
025XX Clover St,"2500 Clover St, New Orleans, LA",29.9965514,-90.0520087
024XX Tulane Ave,"2400 Tulane Ave, New Orleans, LA",29.960035,-90.087059
036XX S Carrollton Ave,"3600 S Carrollton Ave, New Orleans, LA",29.9650905,-90.1118389
036XX Clermont Dr,"3600 Clermont Dr, New Orleans, LA",29.9945205,-90.0539041
035XX Canal St,"3500 Canal St, New Orleans, LA",29.970797,-90.095347
008XX Harrison Ave,"800 Harrison Ave, New Orleans, LA",30.0041491,-90.1054904
029XX Pauger St,"2900 Pauger St, New Orleans, LA",29.9795944,-90.0615429
001XX S Lopez St,"100 S Lopez St, New Orleans, LA",29.968494,-90.09203
077XX S Claiborne Ave,"7700 S Claiborne Ave, New Orleans, LA",29.9531421,-90.1175979
025XX Port St,"2500 Port St, New Orleans, LA",29.9833376,-90.0449792
038XX Orleans Ave,"3800 Orleans Ave, New Orleans, LA",29.977635,-90.093379
004XX N Carrollton Ave,"400 N Carrollton Ave, New Orleans, LA",29.9763518,-90.0965333
007XX Tchoupitoulas St,"700 Tchoupitoulas St, New Orleans, LA",29.9460615,-90.0670164
016XX General Ogden St,"1600 General Ogden St, New Orleans, LA",29.955685,-90.133352
015XX Poydras St,"1500 Poydras St, New Orleans, LA",29.9513865,-90.0789454
032XX General Meyer Ave,"3200 General Meyer Ave, New Orleans, LA",29.940524,-90.022366
051XX Bundy Rd,"5100 Bundy Rd, New Orleans, LA",30.024988,-89.980368
002XX Bourbon St,"200 Bourbon St, New Orleans, LA",29.9547495,-90.0690148
030XX Annunciation St,"3000 Annunciation St, New Orleans, LA",29.922336,-90.082804
005XX Wagner St,"500 Wagner St, New Orleans, LA",29.950337,-90.039325
047XX Tchoupitoulas St,"4700 Tchoupitoulas St, New Orleans, LA",29.9166922,-90.1046507
054XX Fontainebleau Dr,"5400 Fontainebleau Dr, New Orleans, LA",29.950686,-90.107914
028XX S Claiborne Ave,"2800 S Claiborne Ave, New Orleans, LA",29.9420275,-90.0944643
029XX Dryades St,"2900 Dryades St, New Orleans, LA",29.932562,-90.089262
036XX Texas Dr,"3600 Texas Dr, New Orleans, LA",29.9191814,-90.020337
040XX General De Gaulle Dr,"4000 General De Gaulle Dr, New Orleans, LA",29.9226735,-90.0151512
015XX N Claiborne Ave,"1500 N Claiborne Ave, New Orleans, LA",29.9709625,-90.0667792
001XX 10th St,"100 10th St, New Orleans, LA",30.000374,-90.116317
005XX Canal St,"500 Canal St, New Orleans, LA",29.9517932,-90.068085
022XX Saint Anthony St,"2200 Saint Anthony St, New Orleans, LA",29.979529,-90.062533
020XX Poydras St,"2000 Poydras St, New Orleans, LA",29.9547763,-90.0852855
051XX Kendall Dr,"5100 Kendall Dr, New Orleans, LA",30.0119092,-90.0401128
025XX Martin Luther King Jr Blvd,"2500 Martin Luther King Jr Blvd, New Orleans, LA",29.9438601,-90.0846042
027XX Josephine St,"2700 Josephine St, New Orleans, LA",29.943498,-90.087282
035XX Mandeville St,"3500 Mandeville St, New Orleans, LA",29.994163,-90.056518
050XX Saint Ferdinand Dr,"5000 Saint Ferdinand Dr, New Orleans, LA",30.010163,-90.04233
033XX Garden Oaks Dr,"3300 Garden Oaks Dr, New Orleans, LA",29.922381,-90.022459
017XX Martin Luther King Jr Blvd,"1700 Martin Luther King Jr Blvd, New Orleans, LA",29.939763,-90.076935
037XX S Carrollton Ave,"3700 S Carrollton Ave, New Orleans, LA",29.9659185,-90.1109547
009XX Canal St,"900 Canal St, New Orleans, LA",29.954315,-90.0712797
040XX Tulane Ave,"4000 Tulane Ave, New Orleans, LA",29.968056,-90.104705
034XX S Carrollton Ave,"3400 S Carrollton Ave, New Orleans, LA",29.9637358,-90.1130596
012XX Octavia St,"1200 Octavia St, New Orleans, LA",29.92546,-90.114967
029XX Elysian Fields Ave,"2900 Elysian Fields Ave, New Orleans, LA",29.9880435,-90.058878
014XX Louisa St,"1400 Louisa St, New Orleans, LA",29.97037,-90.041614
002XX Maumus Ave,"200 Maumus Ave, New Orleans, LA",29.9143916,-89.9911951
032XX Jackson Ave,"3200 Jackson Ave, New Orleans, LA",29.947457,-90.092205
022XX Magnolia St,"2200 Magnolia St, New Orleans, LA",29.942683,-90.088056
059XX Read Blvd,"5900 Read Blvd, New Orleans, LA",30.0348385,-89.9747672
056XX Read Blvd,"5600 Read Blvd, New Orleans, LA",30.0299353,-89.9720407
079XX Saint Charles Ave,"7900 Saint Charles Ave, New Orleans, LA",29.94173,-90.132751
010XX Elysian Fields Ave,"1000 Elysian Fields Ave, New Orleans, LA",29.9676266,-90.0571106
010XX Poydras St,"1000 Poydras St, New Orleans, LA",29.9551934,-90.0858723
005XX Royal St,"500 Royal St, New Orleans, LA",29.9590229,-90.0258277
014XX Filmore Ave,"1400 Filmore Ave, New Orleans, LA",30.011119,-90.079341
